ID,FACULTY_ID,COURSE_ID
1,6,1
2,7,2
3,8,3
4,9,4
5,10,5
6,11,6
7,12,7
8,13,8
9,14,9
10,15,10
11,16,11
12,17,12
13,18,13
14,19,14
15,20,15
16,21,16
17,22,17
18,23,18
19,24,19
20,25,20
21,26,21
22,27,22
23,28,23
24,29,24
25,30,25
26,31,26
27,32,27
28,33,28
29,34,29
30,35,30
31,36,31
32,37,32
33,38,33
34,39,34
35,40,35
36,6,36
37,7,37
38,8,38
39,9,39
40,10,40
41,11,41
42,12,42
43,13,43
44,14,44
45,15,45
46,16,46
47,17,47
48,18,48
49,19,49
50,20,50
51,21,51
52,22,52
53,23,53
54,24,54
55,25,55
56,26,56
57,27,57
58,28,58
59,29,59
60,30,60
61,31,61
62,32,62
63,33,63
64,34,64
65,35,65
66,36,66
67,37,67
68,38,68
69,39,69
70,40,70
71,6,71
72,7,72
73,8,73
74,9,74
75,10,75
76,11,76
77,12,77
78,13,78
79,14,79
80,15,80
